METRO DE PANAMµ;;;;;;;;;;;;;;;;;
RESUMEN DE INGRESOS TARIFARIOS;;;;;;;;;;;;;;;;;
PRIMER TRIMESTRE 2021;;;;;;;;;;;;;;;;;
MES;Ingreso Monedero;;Ingreso Estudiantes;;;Ingreso Jubilados - Pensionados - 3ø Edad;;;Ingreso Discapacitados;;;Totales de Ingresos;;;Ingreso Tarifas Especiales;;
JULIO ;6,875,563;2,705,193.80;0;0.00;0.00;190,063;73,636.85;45,615.12;15,036;6,091.35;3,608.64;7,080,662;2,784,922.00;2,754,417.56;1,601;623.45;384.24
AGOSTO ;7,145,992;2,816,820.80;0;0.00;0.00;202,412;78,606.25;48,578.88;16,015;6,479.85;3,843.60;7,364,419;2,901,906.90;2,869,243.28;1,596;630.85;383.04
SEPTIEMBRE;7,161,022;2,821,348.30;0;0.00;0.00;213,410;82,837.70;51,218.40;16,029;6,496.85;3,846.96;7,390,461;2,910,682.85;2,876,413.66;1,501;599.50;360.24
INGRESO TOTAL;21,182,577;B/. 8,343,362.90 ;0;B/. 0.00 ;B/. 0.00 ;605,885;B/. 235,080.80 ;B/. 145,412.40 ;47,080;B/. 19,068.05 ;B/. 11,299.20 ;21,835,542;8,597,511.75;8,500,074.50;4,698;B/. 1,853.80 ;B/. 1,127.52 
;;;;;;;;;;;;;;;;;
METRO DE PANAMµ;;;;;;;;;;;;;;;;;
RESUMEN DE INGRESOS TARIFARIOS;;;;;;;;;;;;;;;;;
CUARTO TRIMESTRE 2021;;;;;;;;;;;;;;;;;
MES;Ingreso Monedero;;Ingreso Estudiantes;;;Ingreso Jubilados - Pensionados - 3ø Edad;;;Ingreso Discapacitados;;;Totales de Ingresos;;;Ingreso Tarifas Especiales;;
;Pasajeros;Monto Real;Pasajeros;Monto Real;Monto con Descuento;Pasajeros;Monto Real;Monto con Descuento;Pasajeros;Monto Real;Monto con Descuento;Pasajeros;Monto Real;Monto con Descuento;Pasajeros;Monto Real;Monto con Descuento
OCTUBRE;7,631,466;3,008,199.15;0;0.00;0.00;233,399;90,702.95;56,015.76;17,290;7,043.65;4,149.60;7,882,155;3,105,945.75;3,068,364.51;1,604;643.45;384.96
NOVIEMBRE;;;;;0.00;;;0.00;;;0.00;0;0.00;0.00;;;0.00
DICIEMBRE;;;;;0.00;;;0.00;;;0.00;0;0.00;0.00;;;0.00
INGRESO TOTAL;7,631,466;B/. 3,008,199.15 ;0;B/. 0.00 ;B/. 0.00 ;233,399;B/. 90,702.95 ;B/. 56,015.76 ;17,290;B/. 7,043.65 ;B/. 4,149.60 ;7,882,155;3,105,945.75;3,068,364.51;1,604;B/. 643.45 ;B/. 384.96 
